times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
554.293  002.010  002.010: sourcing /home/okoye/.config/nvim/plugins/tagbar/plugin/tagbar.vim
555.635  000.304  000.304: sourcing /home/okoye/.config/nvim/plugins/gen_tags.vim/autoload/gen_tags/ctags.vim
556.825  000.240  000.240: sourcing /home/okoye/.config/nvim/plugins/gen_tags.vim/autoload/gen_tags/gtags.vim
557.301  002.740  002.196: sourcing /home/okoye/.config/nvim/plugins/gen_tags.vim/plugin/gen_tags.vim
560.717  000.132  000.132: sourcing /home/okoye/.config/nvim/plugins/TagHighlight/autoload/TagHighlight/LoadDataFile.vim
619.012  060.159  060.027: sourcing /home/okoye/.config/nvim/plugins/TagHighlight/plugin/TagHighlight.vim
619.605  000.378  000.378: sourcing /home/okoye/.config/nvim/plugins/vim-rooter/plugin/rooter.vim
620.681  000.933  000.933: sourcing /home/okoye/.config/nvim/plugins/vim-surround/plugin/surround.vim
622.712  000.607  000.607: sourcing /home/okoye/.config/nvim/plugins/delimitmate/autoload/delimitMate.vim
628.640  007.800  007.193: sourcing /home/okoye/.config/nvim/plugins/delimitmate/plugin/delimitMate.vim
629.094  000.277  000.277: sourcing /home/okoye/.config/nvim/plugins/nvim-completion-manager/plugin/cm.vim
629.269  000.032  000.032: sourcing /home/okoye/.config/nvim/plugins/neco-syntax/plugin/necosyntax.vim
629.458  000.072  000.072: sourcing /home/okoye/.config/nvim/plugins/neoinclude.vim/plugin/neoinclude.vim
629.720  000.116  000.116: sourcing /home/okoye/.config/nvim/plugins/neco-vim/plugin/necovim.vim
630.923  000.173  000.173: sourcing /home/okoye/.config/nvim/plugins/ultisnips/autoload/UltiSnips/map_keys.vim
631.141  001.281  001.108: sourcing /home/okoye/.config/nvim/plugins/ultisnips/plugin/UltiSnips.vim
631.367  000.082  000.082: sourcing /home/okoye/.config/nvim/plugins/vim-snippets/plugin/vimsnippets.vim
631.787  000.291  000.291: sourcing /home/okoye/.config/nvim/plugins/far.vim/plugin/far.vim
638.137  006.205  006.205: sourcing /home/okoye/.config/nvim/plugins/vim-tmux-clipboard/plugin/vimtmuxclipboard.vim
639.005  000.564  000.564: sourcing /home/okoye/.config/nvim/plugins/vim-vinegar/plugin/vinegar.vim
640.411  000.106  000.106: sourcing /usr/share/nvim/runtime/indoff.vim
641.152  000.027  000.027: sourcing /usr/share/nvim/runtime/filetype.vim
641.770  000.073  000.073: sourcing /usr/share/nvim/runtime/indent.vim
641.858  002.708  002.503: sourcing /home/okoye/.config/nvim/plugins/vim-sleuth/plugin/sleuth.vim
642.271  000.275  000.275: sourcing /home/okoye/.config/nvim/plugins/vim-projectionist/plugin/projectionist.vim
642.690  000.288  000.288: sourcing /home/okoye/.config/nvim/plugins/vim-startify/plugin/startify.vim
642.901  000.070  000.070: sourcing /home/okoye/.config/nvim/plugins/goyo.vim/plugin/goyo.vim
643.132  000.097  000.097: sourcing /home/okoye/.config/nvim/plugins/limelight.vim/plugin/limelight.vim
643.588  000.326  000.326: sourcing /home/okoye/.config/nvim/plugins/vim-sunset/plugin/sunset.vim
648.168  004.446  004.446: sourcing /home/okoye/.config/nvim/plugins/vim-devicons/plugin/webdevicons.vim
650.074  000.040  000.040: sourcing /usr/share/nvim/runtime/plugin/gui_shim.vim
650.568  000.309  000.309: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
650.791  000.050  000.050: sourcing /usr/share/nvim/runtime/plugin/health.vim
651.040  000.076  000.076: sourcing /usr/share/nvim/runtime/plugin/man.vim
652.151  000.785  000.785: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
